cityLabel,population,countryLabel,gps,longitude,latitude
Chongqing,28846170,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Delhi,26495000,India,Point(77.216666666 28.666666666),77.22,28.67
Shanghai,23390000,People's Republic of China,Point(121.466666666 31.166666666),121.47,31.17
Beijing,21710000,People's Republic of China,Point(116.391388888 39.905),116.39,39.91
Lagos,21324000,Nigeria,Point(3.4 6.45),3.40,6.45
Karachi,14910352,Pakistan,Point(67.01 24.86),67.01,24.86
Karachi,14910352,Pakistan,Point(67.0822 24.9056),67.08,24.91
Istanbul,14657434,Turkey,Point(28.960277777 41.01),28.96,41.01
Tehran,13805000,Iran,Point(51.4231 35.6961),51.42,35.70
Tokyo,13742906,Japan,Point(139.77 35.68),139.77,35.68
Tianjin,13245000,People's Republic of China,Point(117.205555555 39.146666666),117.21,39.15
Guangzhou,13080500,People's Republic of China,Point(113.258976 23.128795),113.26,23.13
Moscow,12500123,Russia,Point(37.617777777 55.755833333),37.62,55.76
Mumbai,12442373,India,Point(72.833333333 18.966666666),72.83,18.97
São Paulo,12106920,Brazil,Point(-46.633947222 -23.550394444),-46.63,-23.55
Nanyang,12010000,People's Republic of China,Point(112.52921 32.99871),112.53,33.00
Shenzhen,11908400,People's Republic of China,Point(114.054 22.535),114.05,22.54
Kinshasa,11855000,Democratic Republic of the Congo,Point(15.313888888 -4.331666666),15.31,-4.33
Chengdu,11050000,People's Republic of China,Point(104.066666666 30.663611111),104.07,30.66
Linyi,10820000,People's Republic of China,Point(118.3425 35.060555555),118.34,35.06
Shijiazhuang,10784600,People's Republic of China,Point(114.508611111 38.042222222),114.51,38.04
Baoding,10700000,People's Republic of China,Point(115.48452 38.86712),115.48,38.87
Lahore,10665000,Pakistan,Point(74.343611111 31.549722222),74.34,31.55
Bangalore,10535000,India,Point(77.597963 12.969907),77.60,12.97
Ho Chi Minh City,10380000,Vietnam,Point(106.633333333 10.816666666),106.63,10.82
Chennai,10265000,India,Point(80.27 13.09),80.27,13.09
Lima,9904727,Peru,Point(-77.030555555 -12.045833333),-77.03,-12.05
Zhoukou,9901000,People's Republic of China,Point(114.6418 33.62502),114.64,33.63
Seoul,9857426,South Korea,Point(127.0 37.583333333),127.00,37.58
Jakarta,9769000,Indonesia,Point(106.8 -6.166666666),106.80,-6.17
Bogotá,9740000,Colombia,Point(-74.080833333 4.598888888),-74.08,4.60
Cairo,9500000,Egypt,Point(31.239444444 30.056111111),31.24,30.06
Hyderabad,9305000,India,Point(78.466666666 17.366666666),78.47,17.37
Tokyo,9272565,Japan,Point(139.774444 35.683889),139.77,35.68
Mexico City,8918653,Mexico,Point(-99.145555555 19.419444444),-99.15,19.42
Dhaka,8906039,Bangladesh,Point(90.366666666 23.7),90.37,23.70
Tehran,8846782,Iran,Point(51.416666666 35.7),51.42,35.70
London,8787892,United Kingdom,Point(-0.1275 51.507222222),-0.13,51.51
Heze,8750000,People's Republic of China,Point(115.433333333 35.233333333),115.43,35.23
Xuzhou,8669000,People's Republic of China,Point(117.18587 34.26104),117.19,34.26
New York City,8537673,United States of America,Point(-73.94 40.67),-73.94,40.67
Weifang,8500000,People's Republic of China,Point(119.1 36.716666666),119.10,36.72
Handan,8499000,People's Republic of China,Point(114.48937 36.61161),114.49,36.61
Fuyang,8360000,People's Republic of China,Point(115.80447 32.89856),115.80,32.90
Dongguan,8310000,People's Republic of China,Point(113.74928 23.04749),113.75,23.05
Ganzhou,8300000,People's Republic of China,Point(114.933611111 25.829166666),114.93,25.83
Jining,8023000,People's Republic of China,Point(116.566666666 35.4),116.57,35.40
Riyadh,8002100,Saudi Arabia,Point(46.71 24.65),46.71,24.65
Chongqing,7990000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Shenyang,7935000,People's Republic of China,Point(123.425833333 41.803888888),123.43,41.80
Wuhan,7895000,People's Republic of China,Point(114.279167 30.5725),114.28,30.57
Hanoi,7785000,Vietnam,Point(105.75 21.0),105.75,21.00
Hanoi,7785000,Vietnam,Point(105.84117 21.0245),105.84,21.02
Chongqing,7700000,People's Republic of China,Point(106.506944444 29.55),106.51,29.55
Changchun,7674439,People's Republic of China,Point(125.2 43.9),125.20,43.90
Ahmedabad,7645000,India,Point(72.58 23.03),72.58,23.03
Zhumadian,7640000,People's Republic of China,Point(114.02528 32.97729),114.03,32.98
Ningbo,7639000,People's Republic of China,Point(121.549166666 29.875),121.55,29.88
Onitsha,7635000,Nigeria,Point(6.783333333 6.166666666),6.78,6.17
Kuala Lumpur,7590000,Malaysia,Point(101.7 3.159722222),101.70,3.16
Hefei,7457027,People's Republic of China,Point(117.279444444 31.863611111),117.28,31.86
Hong Kong,7336585,People's Republic of China,Point(114.158611111 22.278333333),114.16,22.28
Nantong,7282835,People's Republic of China,Point(120.8873 31.98288),120.89,31.98
Hengyang,7265000,People's Republic of China,Point(112.58568 26.89676),112.59,26.90
Yancheng,7260240,People's Republic of China,Point(120.133055555 33.383888888),120.13,33.38
Luanda,7250000,Angola,Point(13.233333333 -8.833333333),13.23,-8.83
Foshan,7194311,People's Republic of China,Point(113.105556 23.029167),113.11,23.03
Tangshan,7100000,People's Republic of China,Point(118.174166666 39.629166666),118.17,39.63
Changsha,7044118,People's Republic of China,Point(112.972222 28.196111),112.97,28.20
Zhengzhou,7005000,People's Republic of China,Point(113.66051 34.74919),113.66,34.75
Shangqiu,7000000,People's Republic of China,Point(115.64673 34.42592),115.65,34.43
Baghdad,6960000,Iraq,Point(44.416666666 33.35),44.42,33.35
Bijie,6959000,People's Republic of China,Point(105.28092 27.30947),105.28,27.31
Zhanjiang,6900000,People's Republic of China,Point(110.403056 21.196667),110.40,21.20
Nanning,6825000,People's Republic of China,Point(108.31501 22.81918),108.32,22.82
Hangzhou,6820000,People's Republic of China,Point(120.155067 30.274097),120.16,30.27
Cangzhou,6800000,People's Republic of China,Point(116.84519 38.30369),116.85,38.30
Maoming,6706000,People's Republic of China,Point(110.91783 21.66182),110.92,21.66
Huanggang,6667000,People's Republic of China,Point(114.87991 30.45246),114.88,30.45
Xinyang,6634000,People's Republic of China,Point(114.06722 32.12641),114.07,32.13
Luoyang,6549941,People's Republic of China,Point(112.42447 34.65867),112.42,34.66
Yantai,6516900,People's Republic of China,Point(121.266389 37.399722),121.27,37.40
Quanzhou,6480000,People's Republic of China,Point(118.59479 24.89744),118.59,24.90
Rio de Janeiro,6476631,Brazil,Point(-43.196388888 -22.908333333),-43.20,-22.91
Shangrao,6441000,People's Republic of China,Point(117.963333333 28.441944444),117.96,28.44
Nanjing,6320000,People's Republic of China,Point(118.766666666 32.05),118.77,32.05
Santiago,6310000,Chile,Point(-70.666666666 -33.45),-70.67,-33.45
